anio,mes,agente_nemo,agente_descripcion,tipo_agente,region,provincia,categoria_area,categoria_demanda,tarifa,categoria_tarifa,demanda_MWh,indice_tiempo
2017,02,APSAAVCY,ALTO AVELLANED SHOP EXDUMSAVCY,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1453.737,2017-02
2017,02,APSABUCY,ALTO PALERMO S.A. P.BULLRICH,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,542.985,2017-02
2017,02,APSAPAOY,PASEO ALCORTA EX NEW SHOPPING,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,895.371,2017-02
2017,02,APSASAAY,ALTO PALERMO S.A. - Alto NOA,GU,NOROESTE,SALTA,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,727.733,2017-02
2017,02,ARCOCCXY,ARCOR SA Colonia Caroya,GU,CENTRO,CORDOBA,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2262.642,2017-02
2017,02,ARCOLPTA,ARCOR ING.LA PROVIDENCIA,AG,NOROESTE,TUCUMAN,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,206.135,2017-02
2017,02,ARCOMITY,ARCOR SA DIV. MISKY,GU,NOROESTE,TUCUMAN,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2881.594,2017-02
2017,02,ARCOMSXA,ARCOR MARIO SEVESO ARROYITO,AG,CENTRO,CORDOBA,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,0,2017-02
2017,02,ARCOREKY,ARCOR SA DIV. RECREO,GU,NOROESTE,CATAMARCA,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1178.01,2017-02
2017,02,ARCOSLDY,ARCOR S.A. - EX ESTIRENOS SA,GU,CENTRO,SAN LUIS,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1350.794,2017-02
2017,02,ARCOSP1Y,ARCOR SA San Pedro,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1891.352,2017-02
2017,02,ARZCFBSY,AR ZINC SA - EX SULFACID,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,244.399,2017-02
2017,02,ATANBA1Y,ATANOR Pta. Baradero,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,384.6,2017-02
2017,02,ATANPIOY,ATANOR - Pilar,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,860.895,2017-02
2017,02,ATANR3XY,ATANOR- Planta Rio III (Cba.),GU,CENTRO,CORDOBA,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,6674.437,2017-02
2017,02,ATANSN1Y,ATANOR Pta. San Nicolas,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,560.779,2017-02
2017,02,AVEXLLCY,AVEX S.A.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,739.316,2017-02
2017,02,AXIOCA1Z,AXION-Pta Campana exESSOCA1Z,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,5229.145,2017-02
2017,02,AXISGAOY,AXIS LOGISTICA S.A. - Garin,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1305.847,2017-02
